化	311	0.000305
北	54	0.000053
匙	17	0.000017
匝	4	0.000004
匠	32	0.000031
匡	1	0.000001
匣	28	0.000027
匪	25	0.000025
匹	43	0.000042
区	157	0.000154
医	233	0.000229
匾	10	0.000010
匿	5	0.000005
十	1448	0.001421
千	267	0.000262
升	208	0.000204
午	205	0.000201
卉	2	0.000002
半	599	0.000588
华	222	0.000218
协	43	0.000042
卑	33	0.000032
卒	5	0.000005
卓	4	0.000004
单	241	0.000237
卖	182	0.000179
南	214	0.000210
博	33	0.000032
卜	14	0.000014
占	80	0.000079
卡	21	0.000021
卢	101	0.000099
卤	6	0.000006
卦	24	0.000024
卧	37	0.000036
卫	177	0.000174
印	231	0.000227
危	164	0.000161
即	97	0.000095
却	726	0.000713
卵	6	0.000006
卷	83	0.000081
卸	7	0.000007
卿	10	0.000010
厂	4	0.000004
厄	77	0.000076
厅	81	0.000080
历	150	0.000147
厉	398	0.000391
压	341	0.000335
厌	73	0.000072
厕	6	0.000006
厘	5	0.000005
厚	137	0.000134
原	502	0.000493
厢	15	0.000015
厥	8	0.000008
厦	4	0.000004
厨	114	0.000112
厩	1	0.000001
厮	17	0.000017
去	3580	0.003514
县	168	0.000165
参	122	0.000120
又	1705	0.001674
叉	13	0.000013
及	255	0.000250
友	204	0.000200
双	549	0.000539
反	564	0.000554
发	1831	0.001797
叔	203	0.000199
取	174	0.000171
受	678	0.000665
变	788	0.000773
叙	9	0.000009
叛	15	0.000015
叠	28	0.000027
口	1364	0.001339
古	208	0.000204
句	280	0.000275
另	156	0.000153
叨	82	0.000080
叩	6	0.000006
只	2871	0.002818
叫	738	0.000724
召	32	0.000031
叭	1	0.000001
叮	31	0.000030
可	3538	0.003473
台	261	0.000256
叱	4	0.000004
史	50	0.000049
右	168	0.000165
叵	3	0.000003
叶	2498	0.002452
号	107	0.000105
司	152	0.000149
叹	234	0.000230
叼	18	0.000018
叽	17	0.000017
吁	42	0.000041
吃	1010	0.000991
各	156	0.000153
吆	11	0.000011
合	352	0.000346
吉	18	0.000018
吊	19	0.000019
同	667	0.000655
名	868	0.000852
后	3475	0.003411
吏	68	0.000067
吐	82	0.000080
向	579	0.000568
吓	298	0.000293
吕	8	0.000008
吗	434	0.000426
君	54	0.000053
吝	9	0.000009
吞	213	0.000209
吟	49	0.000048
吠	14	0.000014
否	57	0.000056
吧	1011	0.000992
吩	36	0.000035
含	101	0.000099
听	1328	0.001304
吭	33	0.000032
吮	7	0.000007
启	62	0.000061
吱	26	0.000026
吴	404	0.000397
吵	30	0.000029
吸	369	0.000362
吹	129	0.000127
吻	41	0.000040
吼	137	0.000134
吽	2	0.000002
吾	15	0.000015
呀	25	0.000025
呃	3	0.000003
呆	79	0.000078
呈	30	0.000029
告	298	0.000293
呐	9	0.000009
呔	1	0.000001
呕	12	0.000012
呗	18	0.000018
员	186	0.000183
呛	14	0.000014
呜	57	0.000056
呡	1	0.000001
呢	562	0.000552
呦	14	0.000014
周	720	0.000707
呯	2	0.000002
呱	1	0.000001
呲	13	0.000013
味	300	0.000294
呵	350	0.000344
呷	1	0.000001
呸	26	0.000026
呻	4	0.000004
呼	261	0.000256
命	460	0.000452
咂	2	0.000002
咄	2	0.000002
咆	39	0.000038
咋	30	0.000029
和	2828	0.002776
咎	5	0.000005
咐	40	0.000039
咒	25	0.000025
咔	90	0.000088
咕	18	0.000018
咖	26	0.000026
咙	15	0.000015
咚	50	0.000049
咛	2	0.000002
咣	5	0.000005
咦	6	0.000006
咧	50	0.000049
咫	1	0.000001
咬	191	0.000187
咯	18	0.000018
咱	307	0.000301
咳	76	0.000075
咸	18	0.000018
咻	13	0.000013
咽	35	0.000034
哀	37	0.000036
品	185	0.000182
哂	3	0.000003
哄	22	0.000022
哆	54	0.000053
哇	19	0.000019
哈	412	0.000404
哉	7	0.000007
响	309	0.000303
哎	110	0.000108
哐	1	0.000001
哑	28	0.000027
哒	12	0.000012
哗	24	0.000024
哝	2	0.000002
哟	49	0.000048
哥	280	0.000275
哦	77	0.000076
哧	14	0.000014
哨	9	0.000009
哩	15	0.000015
哪	651	0.000639
哭	135	0.000133
哮	38	0.000037
哲	3	0.000003
哺	1	0.000001
哼	149	0.000146
哽	5	0.000005
唆	2	0.000002
唇	120	0.000118
唉	42	0.000041
唏	3	0.000003
唐	3897	0.003825
唔	7	0.000007
唠	48	0.000047
唤	53	0.000052
唧	4	0.000004
唬	20	0.000020
售	7	0.000007
唯	56	0.000055
唰	2	0.000002
唱	69	0.000068
唳	1	0.000001
唾	15	0.000015
啃	46	0.000045
啄	3	0.000003
商	240	0.000236
啊	1185	0.001163
啐	15	0.000015
啕	7	0.000007
啖	1	0.000001
啜	1	0.000001
啡	26	0.000026
啤	1	0.000001
啥	74	0.000073
啦	124	0.000122
啧	22	0.000022
啪	51	0.000050
啬	2	0.000002
啰	11	0.000011
啵	1	0.000001
啷	3	0.000003
啸	27	0.000027
啼	3	0.000003
喂	38	0.000037
喃	22	0.000022
善	71	0.000070
喆	1	0.000001
喉	26	0.000026
喊	69	0.000068
喋	15	0.000015
喔	7	0.000007
喘	80	0.000079
喙	1	0.000001
喜	518	0.000508
喝	383	0.000376
喟	2	0.000002
喧	19	0.000019
喳	8	0.000008
喷	80	0.000079
喻	9	0.000009
喽	9	0.000009
嗅	9	0.000009
嗒	17	0.000017
嗓	29	0.000028
嗔	9	0.000009
嗖	25	0.000025
嗜	28	0.000027
嗝	8	0.000008
嗟	1	0.000001
嗡	8	0.000008
嗣	1	0.000001
嗤	35	0.000034
嗦	62	0.000061
嗨	2	0.000002
嗫	4	0.000004
